lng,lat
129.045278,37.236971
129.171685,37.443846
129.163785,37.442019
129.171909,37.444096
129.166295,37.440634
129.04175,37.227144
129.042241,37.220247
129.172131,37.444576
129.169039,37.442709
129.17028,37.449082
129.171003,37.442497
129.171531,37.44306
129.171673,37.443482
129.056015,37.226261
129.050826,37.230758
129.05756,37.254595
129.058408,37.223798
129.045018,37.241848
129.337329,37.175302
129.163239,37.44103
129.169932,37.442652
129.178261,37.439848
129.171762,37.442634
129.172029,37.443073
129.170887,37.442432
129.051155,37.22926
129.176969,37.441032
129.172492,37.443086
129.085215,37.209994
129.047031,37.235802
129.178261,37.439848
129.169412,37.442657
129.057593,37.260164
129.040001,37.228628
129.315029,37.283896
129.170353,37.442587
129.171157,37.442907
129.170781,37.442049
129.04637,37.236132
129.04637,37.236132
129.168854,37.448213
129.168166,37.438858
129.169981,37.44294
129.046902,37.239552
129.165401,37.443548
129.170355,37.44372
129.057933,37.260269
129.169391,37.443531
129.167292,37.44148
129.166829,37.44152
129.169457,37.446261
129.177889,37.439915
129.1673,37.441281
129.049168,37.237919
129.041423,37.214802
129.165907,37.435267
129.155134,37.441617
129.170408,37.446405
129.32764,37.178213
129.162203,37.444918
129.170472,37.443268
129.151379,37.439158
129.171048,37.443236
129.160144,37.444019
129.169385,37.446045
129.169385,37.446045
129.062801,37.278607
129.163135,37.44453
129.344227,37.242992
129.167116,37.441833
129.163492,37.450064
129.154711,37.450127
129.227653,37.379561
129.170429,37.442364
129.153004,37.439007
129.0997018,37.5295525
129.1010991,37.4893559
129.1035326,37.5347707
129.1055386,37.4871447
129.1055386,37.4871447
129.1208177,37.5135084
129.1239352,37.4945732
129.1082399,37.4974732
129.1089371,37.4962863
129.1136497,37.5596884
129.1101084,37.5497842
129.1242869,37.5116184
129.1178899,37.5171168
129.1050812,37.5361231
129.1069522,37.4853151
129.1138611,37.5332879
129.1055386,37.4871447
129.1029771,37.5577361
129.1150388,37.5593293
129.1121419,37.5228837
129.1031248,37.5535511
129.0999649,37.5401453
129.1074039,37.5380214
129.1072498,37.5376246
129.1078463,37.5389354
129.0995982,37.5465389
129.1089754,37.5373211
129.0604022,37.4682438
129.0946418,37.5505015
129.119774,37.479455
129.1026851,37.5428285
129.1027242,37.5430326
129.1026308,37.5423721
129.1034764,37.5447015
129.1192271,37.4793931
129.0998081,37.5387934
129.1057541,37.5380864
128.899038,37.768099
128.88099,37.734511
128.900471,37.768287
128.8402637,37.86814372
128.938433,37.774244
128.880788,37.744261
128.883479,37.751071
128.898062,37.771828
128.91383,37.783979
128.913851,37.782906
128.882974,37.744867
128.873129,37.778079
128.8982634,37.74933573
128.919704,37.757768
128.912797,37.756317
128.892388,37.742651
128.911123,37.752077
128.874857,37.761866
128.824179,37.871984
128.883499,37.769938
128.880139,37.763223
128.88334,37.765191
128.884492,37.768534
128.838669,37.867782
128.892697,37.741946
128.82829,37.874676
128.913836,37.761408
128.874509,37.760283
